feature,mean_abs_shap
auction_intensity,2.8910673
deal_certainty_score,2.1723168
macro_risk,1.7487371
deal_type_enc,1.5707461
tender_offer,1.4505928
sp500_at_ann,1.4090204
pct_from_52w_high,1.4046341
ev_ebitda,1.3587149
is_financial_buyer,1.1778389
hostile,1.1166965
pe_leverage_interaction,0.9228988
fcf_yield,0.90711784
net_debt_ebitda,0.90256447
funding_cost_proxy,0.8269218
num_bidders,0.80825603
ma_heat,0.7409561
market_cycle,0.7274379
analyst_rating,0.7137557
peg_proxy,0.62413234
vix_at_ann,0.59056705
pct_from_52w_low,0.58473486
valuation_discount,0.5579683
gross_margin,0.47673225
revenue_growth,0.42337582
relative_deal_size,0.4219886
sec_Technology,0.4053844
profit_margin,0.3883843
ret_1m,0.3788211
deal_val_bn,0.37870327
debt_equity,0.36557984
log_pb,0.35485488
ret_1w,0.3228186
op_margin,0.30536762
pe_ratio,0.30524403
roa,0.29681215
sector_ma_activity,0.25573564
market_cap_bn,0.25258106
momentum_reversal,0.23194174
sec_Financials,0.22905147
ret_3m,0.22754964
current_ratio,0.21630795
ret_12m,0.20864291
momentum_divergence,0.1944261
pb_ratio,0.19362599
roe,0.18880965
analyst_upside,0.18066815
quality_score,0.17933981
cross_border,0.16681863
sec_Healthcare,0.14820263
analyst_bullish,0.13924873
treasury_10y_at_ann,0.13292737
log_deal_val,0.11862309
sec_Industrials,0.10799255
sec_Real Estate,0.09528087
analyst_upside_clipped,0.08806299
sec_Materials,0.055737108
ret_6m,0.055546675
sec_Consumer Discretionary,0.04612512
sec_Consumer Staples,0.040849734
sec_Energy,0.032423213
distress_flag,0.024050687
is_crisis_year,0.017128063
is_wave_year,0.016988292
sec_Communication Services,0.0041262293
pe_ratio_missing,0.0
